iter	Logloss
154	0.1601337111
155	0.1600024439
156	0.1593326879
157	0.1582892352
158	0.1579041182
159	0.1574703828
160	0.1569071166
161	0.1566715441
162	0.1566673481
163	0.1566543858
164	0.1559420793
165	0.1555838761
166	0.1551962087
167	0.1547663722
168	0.1544151598
169	0.1537453881
170	0.1528418966
171	0.152807071
172	0.1524623767
173	0.1520070374
174	0.1516538232
175	0.1511692406
176	0.1511674271
177	0.1504256417
178	0.1501412321
179	0.150139355
180	0.149562415
181	0.148990551
182	0.1487474496
183	0.147808341
184	0.1475926041
185	0.1475240253
186	0.1468114759
187	0.1467046652
188	0.1464398542
189	0.1464126486
190	0.1460943113
191	0.1460782989
192	0.1457798975
193	0.1455444234
194	0.1447651891
195	0.143829695
196	0.143082967
197	0.1428847388
198	0.1422508705
199	0.1421539273
200	0.1421064475
201	0.1415231847
202	0.1414317985
203	0.140558585
204	0.1405451907
205	0.139482696
206	0.138860506
207	0.1384181918
208	0.1382524559
209	0.138206143
210	0.1380581096
211	0.1378764364
212	0.1372036771
213	0.1368769613
214	0.1368405161
215	0.1365848278
216	0.1359215008
217	0.1358566871
218	0.1358432848
219	0.1353469411
220	0.1350865797
221	0.1345233074
222	0.1340629441
223	0.1335925877
224	0.1335183616
225	0.1332526548
226	0.1330834386
227	0.1327058486
228	0.1322402907
229	0.1319274307
230	0.1317134782
231	0.1313812842
232	0.1313669235
233	0.1312221793
234	0.1310781137
235	0.1309349642
236	0.1309162206
237	0.1307659194
238	0.1303648382
239	0.1303508011
240	0.1301230695
241	0.129886525
242	0.1296956773
243	0.1291657873
244	0.1285155703
245	0.1281929926
246	0.1277025371
247	0.1272765467
248	0.1266507254
249	0.126266261
250	0.1257864184
251	0.1252623708
252	0.1249664539
253	0.1249156278
254	0.1246034315
255	0.1243685034
256	0.1242819363
257	0.1242478476
258	0.1236787515
259	0.123417305
260	0.1231418191
261	0.1225305192
262	0.1222350004
263	0.1222192718
264	0.1220275994
265	0.1217525501
266	0.1217137564
267	0.1211953687
268	0.1210087234
269	0.1209045181
270	0.1206932922
271	0.1206053819
272	0.1205482929
273	0.1204639093
274	0.1200161645
275	0.1200125384
276	0.1197876252
277	0.1194198611
278	0.1193906306
279	0.1193706686
280	0.1193600715
281	0.1191279217
282	0.119014125
283	0.1187979392
284	0.1187093906
285	0.1184471079
286	0.1184399499
287	0.1181204502
288	0.1176761963
289	0.1173978109
290	0.1173192172
291	0.1169974324
292	0.1163331632
293	0.1159205371
294	0.1156220577
295	0.1152960413
296	0.1147679298
297	0.1144322188
298	0.1142354796
299	0.1140607801
300	0.1137918323
301	0.1136518878
302	0.1134886056
303	0.1131934323
304	0.1128028454
305	0.1122062906
306	0.1120382089
307	0.1118316854
308	0.1117807882
309	0.111603416
310	0.1114078311
311	0.1112883433
312	0.1112319745
313	0.1109700462
314	0.1108845725
315	0.1106455669
316	0.1105037832
317	0.1104104638
318	0.1102289186
319	0.1098890453
320	0.1098692861
321	0.1097309729
322	0.1093329186
323	0.1091136589
324	0.1087953158
325	0.1084190409
326	0.1078764523
327	0.1074418077
328	0.1072215009
329	0.1069872354
330	0.1068675416
331	0.1065106326
332	0.1065011584
333	0.1064455695
334	0.1063995762
335	0.1059185047
336	0.1054200172
337	0.1052608759
338	0.1050572533
339	0.1047444415
340	0.1045001272
341	0.1041780748
342	0.103850099
343	0.1036511275
344	0.1032808147
345	0.1031683145
346	0.1028639208
347	0.1025764881
348	0.1024034372
349	0.1019662464
350	0.1014980234
351	0.1011480859
352	0.1008387538
353	0.1006947079
354	0.1002104811
355	0.1000663765
356	0.09983568917
357	0.09956583678
358	0.09942819927
359	0.09921358495
360	0.09912334578
361	0.09898251908
362	0.09890133225
363	0.09883149185
364	0.09882693942
365	0.09856798281
366	0.09820748243
367	0.0981244593
368	0.09788761146
369	0.09775803111
370	0.09749616268
371	0.09706636016
372	0.09699569113
373	0.09684453194
374	0.09672898485
375	0.0963832986
376	0.09600369133
377	0.0958403478
378	0.09550468025
379	0.09529956534
380	0.09522342304
381	0.09508752205
382	0.09505676251
383	0.09476807487
384	0.09459504456
385	0.09433088023
386	0.09409354227
387	0.09389678964
388	0.09371963799
389	0.09351913529
390	0.09331737345
391	0.09311475508
392	0.09298463946
393	0.09275861008
394	0.09265715993
395	0.09264661394
396	0.09250632936
397	0.09231328495
398	0.09204033253
399	0.09188431303
400	0.09184498556
401	0.09168952518
402	0.09144284445
403	0.09142890527
404	0.09118694533
405	0.09085730178
406	0.09079404314
407	0.09063258899
408	0.09061521283
409	0.09031571639
410	0.09027502772
411	0.09025657927
412	0.09009826025
413	0.08998453531
414	0.08997969566
415	0.08965965848
416	0.0895573064
417	0.08941961322
418	0.0892732532
419	0.08913667146
420	0.08889584101
421	0.08875523538
422	0.08870233891
423	0.08830991677
424	0.08811938707
425	0.08803207895
426	0.08768257427
427	0.08752417676
428	0.08710091338
429	0.08697395316
430	0.08692459396
431	0.08667305939
432	0.08652995934
433	0.08650654738
434	0.08615335062
435	0.08603673953
436	0.08582169507
437	0.08581341049
438	0.08567562894
439	0.08542849801
440	0.08534279162
441	0.08501407108
442	0.08487914785
443	0.08457239138
444	0.08432086882
445	0.0839916077
446	0.08362369902
447	0.08361911579
448	0.08329383115
449	0.08309704288
450	0.08307735864
451	0.08307430037
452	0.08291362254
453	0.08266524898
454	0.08240487352
455	0.08239776728
456	0.08218576598
457	0.08194493225
458	0.08162249533
459	0.08118217556
460	0.08093320507
461	0.08047571936
462	0.08023917255
463	0.08008101008
464	0.0797491901
465	0.07959096029
466	0.07935925745
467	0.0791996818
468	0.07906820093
469	0.07902283242
470	0.07877264572
471	0.07845165832
472	0.07837972572
473	0.07830575415
474	0.07802756585
475	0.07790845558
476	0.07775110415
477	0.07751293261
478	0.07691807203
479	0.07678056655
480	0.07673227476
481	0.07663269909
482	0.07657018812
483	0.0764214817
484	0.07641129304
485	0.07619767241
486	0.07592359717
487	0.07578328908
488	0.07560215353
489	0.07543038985
490	0.07516906432
491	0.07505812266
492	0.07490148291
493	0.07465982483
494	0.07436074133
495	0.07404331904
496	0.07379387577
497	0.07350143461
498	0.07331599606
499	0.07316354994
